"profile id","species id","bird name","latin bird name","date","location","latitude","longitude","map"
"1623","2","Rødstrubet Lom","Gavia stellata","2006-07-23","Grenen, Skagen","","",""
"1623","3","Sortstrubet Lom","Gavia arctica","2007-02-11","Nivå Havn","","",""
"1623","4","Islom","Gavia immer","2015-05-14","Grenen, Skagen","","",""
"1623","7","Lille Lappedykker","Tachybaptus ruficollis","2003-09-28","Vestskoven","","",""
"1623","8","Toppet Lappedykker","Podiceps cristatus","","","","",""
"1623","9","Gråstrubet Lappedykker","Podiceps grisegena","","Favrholm Voldgrav","","",""
"1623","10","Nordisk Lappedykker","Podiceps auritus","2008-04-13","Kysten ved Sandflugtsplantagen","","",""
"1623","11","Sorthalset Lappedykker","Podiceps nigricollis","2005-06-19","Bygholm Vejle","","",""
"1623","15","Mallemuk","Fulmarus glacialis","2005-06-20","Bulbjerg","","",""
"1623","30","Sodfarvet Skråpe","Ardenna grisea","2011-09-15","Børstrup Hage","","",""
"1623","31","Almindelig Skråpe","Puffinus puffinus","2011-09-15","Børstrup Hage","","",""
"1623","40","Stor Stormsvale","Oceanodroma leucorhoa","2011-10-19","Vejers Strand","","",""
"1623","47","Sule","Morus bassanus","2005-06-22","Lild Strand","","",""
"1623","49","Skarv","Phalacrocorax carbo","2002-07-23","Alrø","","",""
"1623","60","Rørdrum","Botaurus stellaris","2005-06-18","Han Vejle, Vejlerne","","",""
"1623","78","Silkehejre","Egretta garzetta","2005-06-19","Bygholm Vejle","","",""
"1623","80","Sølvhejre","Ardea alba","2004-08-15","Klydesøen, Vestamager","","",""
"1623","81","Fiskehejre","Ardea cinerea","","","","",""
"1623","87","Sort Stork","Ciconia nigra","2011-04-19","Gilbjerg Hoved","","",""
"1623","88","Hvid Stork","Ciconia ciconia","2006-05-26","Rudbøl","","",""
"1623","90","Sort Ibis","Plegadis falcinellus","2016-05-01","Tranegilde Mose","","",""
"1623","93","Skestork","Platalea leucorodia","2005-06-19","Bygholm Vejle","","",""
"1623","100","Knopsvane","Cygnus olor","","","","",""
"1623","101","Pibesvane","Cygnus columbianus","2011-03-08","Gilbjerg Hoved","","",""
"1623","102","Sangsvane","Cygnus cygnus","2004-01-04","Alsønderup Engsø","","",""
"1623","103","Tundrasædgås","Anser serrirostris","2007-10-15","Gedser Odde","","",""
"1623","104","Kortnæbbet Gås","Anser brachyrhynchus","2007-04-07","Hovvig","","",""
"1623","105","Blisgås","Anser albifrons","2005-10-16","Favrholm Voldgrav","","",""
"1623","107","Grågås","Anser anser","2003-04-17","Solbjerg Engsø","","",""
"1623","109","Canadagås","Branta canadensis","","Ølene","","",""
"1623","110","Bramgås","Branta leucopsis","2005-06-26","Favrholm Voldgrav","","",""
"1623","111","Knortegås","Branta bernicla","2005-08-14","Ølsemagle Revle","","",""
"1623","113","Nilgås","Alopochen aegyptiaca","2004-05-16","Strødam Engsø","","",""
"1623","115","Gravand","Tadorna tadorna","2003-04-17","Solbjerg Engsø","","",""
"1623","120","Pibeand","Mareca penelope","2004-04-09","Nexø Sydstrand","","",""
"1623","121","Amerikansk Pibeand","Mareca americana","2004-04-09","Nexø Sydstrand","","",""
"1623","123","Knarand","Mareca strepera","","Solbjerg Engsø","","",""
"1623","125","Krikand","Anas crecca","2003-04-17","Solbjerg Engsø","","",""
"1623","128","Gråand","Anas platyrhynchos","","","","",""
"1623","130","Spidsand","Anas acuta","2004-04-09","Nexø Sydstrand","","",""
"1623","132","Atlingand","Spatula querquedula","2005-06-23","Kærup Holme-skjulet, Vejlerne","","",""
"1623","135","Skeand","Spatula clypeata","","Strødam Engsø","","",""
"1623","137","Rødhovedet And","Netta rufina","2014-03-15","Stege Jordbassiner","","",""
"1623","138","Taffeland","Aythya ferina","2003-04-17","Solbjerg Engsø","","",""
"1623","141","Halsbåndstroldand","Aythya collaris","2013-01-30","Frederiksdal, Lyngby-Taarbæk","","",""
