"profileId","speciesId","birdName","latinBirdName","recDate","location","latitude","longitude","recMap"
"4347","2","Rødstrubet Lom","Gavia stellata","","","","",""
"4347","3","Sortstrubet Lom","Gavia arctica","","","","",""
"4347","4","Islom","Gavia immer","2015-05-14","Grenen","","",""
"4347","7","Lille Lappedykker","Tachybaptus ruficollis","","","","",""
"4347","8","Toppet Lappedykker","Podiceps cristatus","","","","",""
"4347","9","Gråstrubet Lappedykker","Podiceps grisegena","","","","",""
"4347","10","Nordisk Lappedykker","Podiceps auritus","","","","",""
"4347","11","Sorthalset Lappedykker","Podiceps nigricollis","","","","",""
"4347","12","Sortbrynet Albatros","Thalassarche melanophris","2017-10-06","Ebbeløkke","55.960571","11.451927","http://maps.google.co.uk/maps?q=loc:55.960571, 11.451927(Sortbrynet Albatros)&z=7&iwloc=A"
"4347","15","Mallemuk","Fulmarus glacialis","2015-05-14","Grenen","","",""
"4347","47","Sule","Morus bassanus","","","","",""
"4347","49","Skarv","Phalacrocorax carbo","","","","",""
"4347","51","Topskarv","Phalacrocorax aristotelis","2017-05-21","Grenen","","",""
"4347","60","Rørdrum","Botaurus stellaris","","","","",""
"4347","78","Silkehejre","Egretta garzetta","2017-04-09","Gl. Hviding Engsø Forland","","",""
"4347","80","Sølvhejre","Ardea alba","","","","",""
"4347","81","Fiskehejre","Ardea cinerea","","","","",""
"4347","88","Hvid Stork","Ciconia ciconia","","","","",""
"4347","93","Skestork","Platalea leucorodia","","","","",""
"4347","100","Knopsvane","Cygnus olor","","","","",""
"4347","101","Pibesvane","Cygnus columbianus","","","","",""
"4347","102","Sangsvane","Cygnus cygnus","","","","",""
"4347","103","Tundrasædgås","Anser serrirostris","","","","",""
"4347","104","Kortnæbbet Gås","Anser brachyrhynchus","","","","",""
"4347","105","Blisgås","Anser albifrons","","","","",""
"4347","106","Dværggås","Anser erythropus","","","","",""
"4347","107","Grågås","Anser anser","","","","",""
"4347","109","Canadagås","Branta canadensis","","","","",""
"4347","110","Bramgås","Branta leucopsis","","","","",""
"4347","111","Knortegås","Branta bernicla","","","","",""
"4347","112","Rødhalset Gås","Branta ruficollis","2018-02-18","Kalløgrå","","",""
"4347","113","Nilgås","Alopochen aegyptiaca","","","","",""
"4347","115","Gravand","Tadorna tadorna","","","","",""
"4347","119","Mandarinand","Aix galericulata","","Utterslev mose del 2","","",""
"4347","120","Pibeand","Mareca penelope","","","","",""
"4347","123","Knarand","Mareca strepera","","","","",""
"4347","125","Krikand","Anas crecca","","","","",""
"4347","126","Amerikansk Krikand","Anas carolinensis","","","","",""
"4347","128","Gråand","Anas platyrhynchos","","","","",""
"4347","130","Spidsand","Anas acuta","","","","",""
"4347","132","Atlingand","Spatula querquedula","","","","",""
"4347","135","Skeand","Spatula clypeata","","","","",""
"4347","137","Rødhovedet And","Netta rufina","","","","",""
"4347","138","Taffeland","Aythya ferina","","","","",""
"4347","141","Halsbåndstroldand","Aythya collaris","2013-03-02","Furesø","","",""
"4347","143","Troldand","Aythya fuligula","","","","",""
"4347","144","Bjergand","Aythya marila","","","","",""
"4347","145","Lille Bjergand","Aythya affinis","2012-12-28","Skælskør Inderfjord","","",""
"4347","146","Ederfugl","Somateria mollissima","","","","",""
"4347","147","Kongeederfugl","Somateria spectabilis","2016-03-12","Rantzausminde","55.036311","10.571294","http://maps.google.co.uk/maps?q=loc:55.036311, 10.571294(Kongeederfugl)&z=7&iwloc=A"
"4347","151","Havlit","Clangula hyemalis","2016-03-12","","54.722018","10.694182","http://maps.google.co.uk/maps?q=loc:54.722018, 10.694182(Havlit)&z=7&iwloc=A"
"4347","152","Sortand","Melanitta nigra","","","","",""
"4347","962","Amerikansk Sortand","Melanitta americana","2014-10-13","Hvidbjerg Strand","","",""
"4347","153","Brilleand","Melanitta perspicillata","2014-10-13","Hvidbjerg Strand","","",""
"4347","154","Fløjlsand","Melanitta fusca","","","","",""
"4347","963","Amerikansk Fløjlsand","Melanitta deglandi","2014-10-12","Hvidbjerg Strand","","",""
"4347","157","Hvinand","Bucephala clangula","","","","",""
"4347","159","Lille Skallesluger","Mergellus albellus","","","","",""
"4347","160","Toppet Skallesluger","Mergus serrator","","","","",""
"4347","161","Stor Skallesluger","Mergus merganser","","","","",""
"4347","164","Hvepsevåge","Pernis apivorus","","","","",""
"4347","168","Sort Glente","Milvus migrans","2017-05-21","Grenen","","",""
"4347","169","Rød Glente","Milvus milvus","","","","",""
