"profile id","species id","bird name","latin bird name","date","location","latitude","longitude","map"
"195","2","Rødstrubet Lom","Gavia stellata","","","","",""
"195","3","Sortstrubet Lom","Gavia arctica","","","","",""
"195","4","Islom","Gavia immer","1987-08-15","Nykøbing Sj., Odsherred","","",""
"195","5","Hvidnæbbet Lom","Gavia adamsii","1989-04-11","Kattegat ud for Helgenæs","","",""
"195","7","Lille Lappedykker","Tachybaptus ruficollis","1985-01-12","Sjællandsbroen, Amager","","",""
"195","8","Toppet Lappedykker","Podiceps cristatus","","","","",""
"195","9","Gråstrubet Lappedykker","Podiceps grisegena","","","","",""
"195","10","Nordisk Lappedykker","Podiceps auritus","1986-04-25","Ulvsund ud for Viemose skov","","",""
"195","11","Sorthalset Lappedykker","Podiceps nigricollis","1986-06-26","Utterslev Mose, København","","",""
"195","15","Mallemuk","Fulmarus glacialis","1987-09-27","Gilleleje Havn, S","","",""
"195","30","Sodfarvet Skråpe","Ardenna grisea","1987-08-15","Nykøbing Sj. strand","","",""
"195","40","Stor Stormsvale","Oceanodroma leucorhoa","2012-09-20","Blåvand","","",""
"195","47","Sule","Morus bassanus","1986-12-02","Gilbjerg Hoved, S","","",""
"195","49","Skarv","Phalacrocorax carbo","","","","",""
"195","60","Rørdrum","Botaurus stellaris","1989-04-02","Vesløs Vejle, Thy","","",""
"195","78","Silkehejre","Egretta garzetta","1998-05-09","Bygholmengen, NJ","","",""
"195","80","Sølvhejre","Ardea alba","2006-07-18","Klydesøen, Vestamager","","",""
"195","81","Fiskehejre","Ardea cinerea","","","","",""
"195","87","Sort Stork","Ciconia nigra","1997-05-13","Skagen Nordstrand","","",""
"195","88","Hvid Stork","Ciconia ciconia","1989-04-01","Vesløs, Thy","","",""
"195","93","Skestork","Platalea leucorodia","1989-06-07","Ulvedybet, NJ","","",""
"195","100","Knopsvane","Cygnus olor","","","","",""
"195","101","Pibesvane","Cygnus columbianus","1990-10-19","Selbjerg Vejle","","",""
"195","102","Sangsvane","Cygnus cygnus","","","","",""
"195","103","Tundrasædgås","Anser serrirostris","1985-11-24","Jægerspris Nordskov, S","","",""
"195","104","Kortnæbbet Gås","Anser brachyrhynchus","1989-01-31","Bygholmengen, NJ","","",""
"195","105","Blisgås","Anser albifrons","1988-01-24","Tystrup Bavelse, S","","",""
"195","106","Dværggås","Anser erythropus","","","","",""
"195","107","Grågås","Anser anser","","","","",""
"195","109","Canadagås","Branta canadensis","","","","",""
"195","110","Bramgås","Branta leucopsis","1986-04-19","Nyord, Møn","","",""
"195","111","Knortegås","Branta bernicla","","","","",""
"195","112","Rødhalset Gås","Branta ruficollis","","","","",""
"195","113","Nilgås","Alopochen aegyptiaca","2017-05-25","Agerø","","",""
"195","114","Rustand","Tadorna ferruginea","","","","",""
"195","115","Gravand","Tadorna tadorna","","","","",""
"195","120","Pibeand","Mareca penelope","","","","",""
"195","123","Knarand","Mareca strepera","1985-08-31","Bogø, Møn","","",""
"195","125","Krikand","Anas crecca","","","","",""
"195","126","Amerikansk Krikand","Anas carolinensis","2009-04-25","Haslev","","",""
"195","128","Gråand","Anas platyrhynchos","","","","",""
"195","130","Spidsand","Anas acuta","","","","",""
"195","132","Atlingand","Spatula querquedula","1987-06-12","Korevlerne, Odsherred, S","","",""
"195","135","Skeand","Spatula clypeata","","","","",""
"195","137","Rødhovedet And","Netta rufina","1989-04-02","Vesløs Vejle, Thy","","",""
"195","138","Taffeland","Aythya ferina","","","","",""
"195","141","Halsbåndstroldand","Aythya collaris","2013-01-31","Frederiksdal, Region Hovedstaden","55.783361","12.443572","http://maps.google.co.uk/maps?q=loc:55.783361, 12.443572(Halsbåndstroldand)&z=7&iwloc=A"
"195","142","Hvidøjet And","Aythya nyroca","2004-06-07","Ejby mose, Glostrup","","",""
"195","143","Troldand","Aythya fuligula","","","","",""
"195","144","Bjergand","Aythya marila","1986-03-16","Nivå Bugt, S","","",""
"195","145","Lille Bjergand","Aythya affinis","2010-02-28","Roskilde Havn","","",""
"195","146","Ederfugl","Somateria mollissima","1986-05-03","Vejlesø, Holte, S (første noteret)","","",""
"195","147","Kongeederfugl","Somateria spectabilis","1989-08-15","Hammer Havn, B","","",""
"195","149","Stellersand","Polysticta stelleri","2003-02-14","Nivå bugt","","",""
"195","151","Havlit","Clangula hyemalis","1986-03-29","Ulvshale, Møn","","",""
"195","152","Sortand","Melanitta nigra","","","","",""
"195","153","Brilleand","Melanitta perspicillata","2017-03-25","Lumsås Nordstrand","","",""
"195","154","Fløjlsand","Melanitta fusca","1985-04-18","Østersøen et sted","","",""
"195","157","Hvinand","Bucephala clangula","","","","",""
"195","159","Lille Skallesluger","Mergellus albellus","1985-01-12","Sjællandsbroen, Amager","","",""
"195","160","Toppet Skallesluger","Mergus serrator","","","","",""
"195","161","Stor Skallesluger","Mergus merganser","","","","",""
"195","164","Hvepsevåge","Pernis apivorus","1984-05-20","Viemose skov","","",""
"195","168","Sort Glente","Milvus migrans","1989-05-24","Bullbjerg, Hanherred, NJ","","",""
"195","169","Rød Glente","Milvus milvus","1984-06-25","?. Midtsjælland","","",""
"195","172","Havørn","Haliaeetus albicilla","1985-10-15","Rude skov, Nordsj.,S","","",""
"195","181","Slangeørn","Circaetus gallicus","2008-05-23","Skagen","","",""
"195","183","Rørhøg","Circus aeruginosus","","","","",""
"195","184","Blå Kærhøg","Circus cyaneus","","","","",""
"195","185","Steppehøg","Circus macrourus","2005-08-21","Borreby mose, S","","",""
"195","186","Hedehøg","Circus pygargus","1986-06-26","Jægersborg Hegn, S","","",""
"195","189","Duehøg","Accipiter gentilis","","","","",""
"195","190","Spurvehøg","Accipiter nisus","","","","",""
"195","194","Musvåge","Buteo buteo","","","","",""
"195","196","Fjeldvåge","Buteo lagopus","","","","",""
"195","197","Lille Skrigeørn","Clanga pomarina","2017-05-22","Skagen","","",""
"195","202","Kongeørn","Aquila chrysaetos","1985-10-27","Jægerspris Nordskov, S","","",""
"195","201","Kejserørn","Aquila heliaca","1999-06-04","Bøtø Nor","","",""
"195","206","Fiskeørn","Pandion haliaetus","1984-07-22","Nyord (første noteret)","","",""
"195","208","Tårnfalk","Falco tinnunculus","","","","",""
"195","210","Aftenfalk","Falco vespertinus","1986-05-03","Gilbjerg Hoved, S","","",""
"195","212","Dværgfalk","Falco columbarius","1985-09-22","Trørød, Nordsj, S","","",""
"195","213","Lærkefalk","Falco subbuteo","1985-05-20","Vaserne, Nordsj.,S","","",""
"195","218","Jagtfalk","Falco rusticolus","2015-09-11","Stigsnæs","55.22119","11.244507","http://maps.google.co.uk/maps?q=loc:55.22119, 11.244507(Jagtfalk)&z=7&iwloc=A"
"195","219","Vandrefalk","Falco peregrinus","1985-08-25","Stigsnæs, S","","",""
"195","237","Agerhøne","Perdix perdix","","","","",""
"195","238","Vagtel","Coturnix coturnix","1989-05-25","Selbjerg Vejle","","",""
"195","239","Fasan","Phasianus colchicus","","","","",""
"195","244","Vandrikse","Rallus aquaticus","","","","",""
"195","245","Plettet Rørvagtel","Porzana porzana","1989-04-16","Bygholm Rør, Hanherred","","",""
"195","248","Dværgrørvagtel","Porzana pusilla","1989-06-10","Selbjerg Vejle","","",""
"195","251","Engsnarre","Crex crex","1988-05-17","Strøby Kirke, Stevns, S","","",""
"195","252","Grønbenet Rørhøne","Gallinula chloropus","","","","",""
"195","257","Blishøne","Fulica atra","","","","",""
"195","260","Trane","Grus grus","1985-04-14","Hellebæk, Nordsj., S","","",""
"195","272","Strandskade","Haematopus ostralegus","","","","",""
"195","275","Klyde","Recurvirostra avosetta","","","","",""
"195","277","Triel","Burhinus oedicnemus","2003-08-07","Lejsø, Korsør, S","","",""
"195","281","Rødvinget Braksvale","Glareola pratincola","1995-08-13","Ølsemagle Revle, S","","",""
"195","284","Lille Præstekrave","Charadrius dubius","1987-07-17","Køge Havn","","",""
