"profileId","speciesId","birdName","latinBirdName","recDate","countryId","country","location","latitude","longitude","recMap"
"1623","2","Rødstrubet Lom","Gavia stellata","2006-07-23","1","Danmark","Grenen, Skagen","","",""
"1623","3","Sortstrubet Lom","Gavia arctica","2007-02-11","1","Danmark","Nivå Havn","","",""
"1623","4","Islom","Gavia immer","2015-05-14","1","Danmark","Grenen, Skagen","","",""
"1623","7","Lille Lappedykker","Tachybaptus ruficollis","2003-09-28","1","Danmark","Vestskoven","","",""
"1623","8","Toppet Lappedykker","Podiceps cristatus","2003-01-01","1","Danmark","Slotssøen","","",""
"1623","9","Gråstrubet Lappedykker","Podiceps grisegena","2004-01-01","1","Danmark","Favrholm Voldgrav","","",""
"1623","10","Nordisk Lappedykker","Podiceps auritus","2008-04-13","1","Danmark","Kysten ved Sandflugtsplantagen","","",""
"1623","11","Sorthalset Lappedykker","Podiceps nigricollis","2005-06-19","1","Danmark","Bygholm-dæmningen, Vejlerne","","",""
"1623","15","Mallemuk","Fulmarus glacialis","2005-06-20","1","Danmark","Bulbjerg","","",""
"1623","30","Sodfarvet Skråpe","Ardenna grisea","2011-09-15","1","Danmark","Børstrup Hage","","",""
"1623","31","Almindelig Skråpe","Puffinus puffinus","2011-09-15","1","Danmark","Børstrup Hage","","",""
"1623","40","Stor Stormsvale","Oceanodroma leucorhoa","2011-10-19","1","Danmark","Vejers Strand","","",""
"1623","47","Sule","Morus bassanus","2005-06-22","1","Danmark","Lild Strand","","",""
"1623","49","Skarv","Phalacrocorax carbo","2002-07-23","1","Danmark","Alrø","","",""
"1623","51","Topskarv","Phalacrocorax aristotelis","2009-10-02","34","Frankrig","Calvi, Korsika","","",""
"1623","60","Rørdrum","Botaurus stellaris","2005-06-18","1","Danmark","Han Vejle, Vejlerne","","",""
"1623","72","Kohejre","Bubulcus ibis","2018-03-10","8","Spanien","Malaga","","",""
"1623","78","Silkehejre","Egretta garzetta","2005-06-19","1","Danmark","Bygholm-dæmningen, Vejlerne","","",""
"1623","80","Sølvhejre","Ardea alba","2004-08-15","1","Danmark","Klydesøen","","",""
"1623","81","Fiskehejre","Ardea cinerea","","1","Danmark","","","",""
"1623","87","Sort Stork","Ciconia nigra","2008-07-09","39","Polen","Zajki","","",""
"1623","88","Hvid Stork","Ciconia ciconia","2005-07-22","36","Tyskland","Rügen","","",""
"1623","90","Sort Ibis","Plegadis falcinellus","2016-05-01","1","Danmark","Tranegilde Mose","","",""
"1623","93","Skestork","Platalea leucorodia","2005-06-19","1","Danmark","Kraptårnet, Vejlerne","","",""
"1623","100","Knopsvane","Cygnus olor","2003-01-01","1","Danmark","","","",""
"1623","101","Pibesvane","Cygnus columbianus","2007-10-06","9","Sverige","Ljungen, Falsterbo","55.396174","12.879226","http://maps.google.co.uk/maps?q=loc:55.396174, 12.879226(Pibesvane)&z=7&iwloc=A"
"1623","102","Sangsvane","Cygnus cygnus","2004-01-04","1","Danmark","Alsønderup Sø","","",""
"1623","103","Tundrasædgås","Anser serrirostris","2007-02-15","9","Sverige","Sandby Mark, Skåne","","",""
"1623","104","Kortnæbbet Gås","Anser brachyrhynchus","2007-04-07","1","Danmark","Hovvig","","",""
"1623","105","Blisgås","Anser albifrons","2005-10-16","1","Danmark","Favrholm Voldgrav","","",""
"1623","107","Grågås","Anser anser","2003-04-17","1","Danmark","Solbjerg Engsø","55.994812","12.249481","http://maps.google.co.uk/maps?q=loc:55.994812, 12.249481(Grågås)&z=7&iwloc=A"
"1623","109","Canadagås","Branta canadensis","2003-05-01","1","Danmark","Ølene","","",""
"1623","110","Bramgås","Branta leucopsis","2005-06-26","1","Danmark","Favrholm Voldgrav","","",""
"1623","111","Knortegås","Branta bernicla","2005-08-14","1","Danmark","Ølsemagle Revle","","",""
"1623","113","Nilgås","Alopochen aegyptiaca","2004-05-16","1","Danmark","Strødam Engsø","","",""
"1623","115","Gravand","Tadorna tadorna","2003-04-17","1","Danmark","Solbjerg Engsø","55.994812","12.249481","http://maps.google.co.uk/maps?q=loc:55.994812, 12.249481(Gravand)&z=7&iwloc=A"
"1623","120","Pibeand","Mareca penelope","2004-04-09","1","Danmark","Nexø Sydstrand","","",""
"1623","121","Amerikansk Pibeand","Mareca americana","2004-04-09","1","Danmark","Nexø Sydstrand","","",""
"1623","123","Knarand","Mareca strepera","2005-05-01","1","Danmark","Solbjerg Engsø","55.994812","12.249481","http://maps.google.co.uk/maps?q=loc:55.994812, 12.249481(Knarand)&z=7&iwloc=A"
