"profile id","species id","bird name","latin bird name","date","country id","country","location","latitude","longitude","map"
"195","2","Red-throated Loon","Gavia stellata","","","","","","",""
"195","3","Black-throated Loon","Gavia arctica","","","","","","",""
"195","4","Great Northern Loon","Gavia immer","","","","","","",""
"195","5","Yellow-billed Loon","Gavia adamsii","","","","","","",""
"195","7","Little Grebe","Tachybaptus ruficollis","","","","","","",""
"195","8","Great Crested Grebe","Podiceps cristatus","","","","","","",""
"195","9","Red-necked Grebe","Podiceps grisegena","","","","","","",""
"195","10","Horned Grebe","Podiceps auritus","","","","","","",""
"195","11","Black-necked Grebe","Podiceps nigricollis","","","","","","",""
"195","15","Northern Fulmar","Fulmarus glacialis","","","","","","",""
"195","1140","Scopoli's Shearwater","Calonectris diomedea","2011-05-01","8","Spain","Mallorca","40.010787","3.251953","http://maps.google.co.uk/maps?q=loc:40.010787, 3.251953(Scopoli's Shearwater)&z=7&iwloc=A"
"195","25","Cory's Shearwater","Calonectris borealis","2012-06-01","40","Portugal","Kap Sao vicente","37.029966","-9.003639","http://maps.google.co.uk/maps?q=loc:37.029966, -9.003639(Cory's Shearwater)&z=7&iwloc=A"
"195","30","Sooty Shearwater","Ardenna grisea","","","","","","",""
"195","31","Manx Shearwater","Puffinus puffinus","","","","","","",""
"195","32","Balearic Shearwater","Puffinus mauretanicus","","","","","","",""
"195","33","Yelkouan Shearwater","Puffinus yelkouan","","","","","","",""
"195","39","European Storm Petrel","Hydrobates pelagicus","","","","","","",""
"195","40","Leach's Storm Petrel","Oceanodroma leucorhoa","","","","","","",""
"195","47","Northern Gannet","Morus bassanus","","","","","","",""
"195","49","Great Cormorant","Phalacrocorax carbo","","","","","","",""
"195","51","European Shag","Phalacrocorax aristotelis","","","","","","",""
"195","53","Pygmy Cormorant","Microcarbo pygmeus","2015-09-17","10","Turkey","Kücükcekmece","40.989228","28.752594","http://maps.google.co.uk/maps?q=loc:40.989228, 28.752594(Pygmy Cormorant)&z=7&iwloc=A"
"195","56","Great White Pelican","Pelecanus onocrotalus","2016-05-02","23","Romania","Donau deltaet","","",""
"195","57","Dalmatian Pelican","Pelecanus crispus","2016-05-03","23","Romania","Donau deltaet","","",""
"195","60","Eurasian Bittern","Botaurus stellaris","","","","","","",""
"195","63","Little Bittern","Ixobrychus minutus","","","","","","",""
"195","66","Black-crowned Night Heron","Nycticorax nycticorax","","","","","","",""
"195","69","Squacco Heron","Ardeola ralloides","","","","","","",""
"195","72","Western Cattle Egret","Bubulcus ibis","","","","","","",""
"195","78","Little Egret","Egretta garzetta","","","","","","",""
"195","80","Great Egret","Ardea alba","","","","","","",""
"195","81","Grey Heron","Ardea cinerea","","","","","","",""
"195","84","Purple Heron","Ardea purpurea","","","","","","",""
"195","87","Black Stork","Ciconia nigra","","","","","","",""
"195","88","White Stork","Ciconia ciconia","","","","","","",""
"195","90","Glossy Ibis","Plegadis falcinellus","","","","","","",""
"195","91","Northern Bald Ibis","Geronticus eremita","","","","","","",""
"195","93","Eurasian Spoonbill","Platalea leucorodia","","","","","","",""
"195","95","Greater Flamingo","Phoenicopterus roseus","","","","","","",""
"195","100","Mute Swan","Cygnus olor","","","","","","",""
